Stanje na računu,Trajanje računa,Istorija kredita,Svrha uzimanja,Iznos kredita,Račun za štednju,Zaposlenost,Kamata – u procentima od tekućih prihoda,Pol i bračni staus,Žirant Ko-aplikant,Prebivalište (u godinama),Imovina,Godine starosti,Plaćanje u ratama,Stan/Kuća,Postojeći kredit u ovoj banci,Vrsta posla,Izdržavani: broj lica koji zavise od prihoda aplikanta,Telefon,Radnik stranac,Odobren kredit
nema računa u ovoj banci,6,kritičan račun,muzička tehnika/televizija,700,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,nema,36,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,24,kritičan račun,popravka,5507,<100 DM,>=7 godina,3,"muško, neoženjen",nema,4,nema,44,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,18,drugi krediti plaćani na vreme,muzička tehnika/televizija,3190,<100 DM,1<= < 4 godina,2,"žensko, udata/razvedena",nema,2,poseduje nekretninu,24,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,48,nema uzetih kredita,nameštaj,7119,<100 DM,1<= < 4 godina,3,"muško, neoženjen",nema,4,nema,53,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,2,nema,da,Ne
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,automobil (polovan),3488,100 <= <500 DM,4<= <7 godina,3,"žensko, udata/razvedena",nema,4,automobil ili drugo,23,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,18,drugi krediti plaćani na vreme,muzička tehnika/televizija,1113,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",žirant,4,poseduje nekretninu,26,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
0 <= <200 DM,26,drugi krediti plaćani na vreme,automobil (polovan),7966,<100 DM,<=1 godina,2,"muško, neoženjen",nema,3,automobil ili drugo,30,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,15,kritičan račun,obrazovanje,1532,100 <= <500 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,3,automobil ili drugo,31,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,4,kritičan račun,muzička tehnika/televizija,1503,<100 DM,4<= <7 godina,2,"muško, neoženjen",nema,1,poseduje nekretninu,42,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
<0 DM,36,drugi krediti plaćani na vreme,muzička tehnika/televizija,2302,<100 DM,1<= < 4 godina,4,"muško, razveden",nema,4,automobil ili drugo,31,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,6,drugi krediti plaćani na vreme,automobil (nov),662,<100 DM,<=1 godina,3,"muško, neoženjen",nema,4,poseduje nekretninu,41,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,ima,da,Da
0 <= <200 DM,36,drugi krediti plaćani na vreme,obrazovanje,2273,<100 DM,4<= <7 godina,3,"muško, neoženjen",nema,1,automobil ili drugo,32,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
0 <= <200 DM,15,drugi krediti plaćani na vreme,automobil (nov),2631,100 <= <500 DM,1<= < 4 godina,2,"žensko, udata/razvedena",nema,4,automobil ili drugo,28,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,12,kašnjenje sa uplatama,automobil (polovan),1503,<100 DM,1<= < 4 godina,4,"muško, oženjen/udovac",nema,4,poseduje nekretninu,41,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,1311,100 <= <500 DM,4<= <7 godina,4,"muško, oženjen/udovac",nema,3,ulaganje u nekretnine/životno osiguranje,26,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,3105,nema račun za štednju,<=1 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,25,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
>= 200 DM ,21,kritičan račun,obrazovanje,2319,<100 DM,<=1 godina,2,"muško, razveden",nema,1,automobil ili drugo,33,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,6,drugi krediti plaćani na vreme,automobil (nov),1374,nema račun za štednju,nezaposlen,4,"žensko, udata/razvedena",nema,3,ulaganje u nekretnine/životno osiguranje,75,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,18,kritičan račun,nameštaj,3612,<100 DM,>=7 godina,3,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,37,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,48,drugi krediti plaćani na vreme,automobil (nov),7763,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,nema,42,banka,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,nema,da,Ne
>= 200 DM ,18,drugi krediti plaćani na vreme,nameštaj,3049,<100 DM,<=1 godina,1,"žensko, udata/razvedena",nema,1,ulaganje u nekretnine/životno osiguranje,45,radnja,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,1534,<100 DM,<=1 godina,1,"muško, oženjen/udovac",nema,1,poseduje nekretninu,23,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,24,kašnjenje sa uplatama,automobil (nov),2032,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,nema,60,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,30,drugi krediti plaćani na vreme,nameštaj,6350,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,31,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
>= 200 DM ,18,drugi krediti plaćani na vreme,nameštaj,2864,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,1,poseduje nekretninu,34,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Ne
nema računa u ovoj banci,12,kritičan račun,automobil (nov),1255,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,61,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
<0 DM,24,kašnjenje sa uplatama,automobil (nov),1333,<100 DM,nezaposlen,4,"muško, neoženjen",nema,2,poseduje nekretninu,43,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,2,nema,da,Ne
nema računa u ovoj banci,24,kritičan račun,automobil (nov),2022,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,4,automobil ili drugo,37,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,1552,<100 DM,4<= <7 godina,3,"muško, neoženjen",nema,1,automobil ili drugo,32,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
<0 DM,12,svi krediti u ovoj banci vraćeni na vreme,muzička tehnika/televizija,626,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,4,poseduje nekretninu,24,banka,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
nema računa u ovoj banci,48,kritičan račun,automobil (polovan),8858,nema račun za štednju,4<= <7 godina,2,"muško, neoženjen",nema,1,nema,35,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,12,kritičan račun,popravka,996,nema račun za štednju,4<= <7 godina,4,"žensko, udata/razvedena",nema,4,poseduje nekretninu,23,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,6,svi krediti u ovoj banci vraćeni na vreme,muzička tehnika/televizija,1750,500 <= < 1000 DM,>=7 godina,2,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,45,banka,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
<0 DM,48,drugi krediti plaćani na vreme,muzička tehnika/televizija,6999,<100 DM,4<= <7 godina,1,"muško, oženjen/udovac",žirant,1,poseduje nekretninu,34,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
0 <= <200 DM,12,kritičan račun,automobil (nov),1995,100 <= <500 DM,<=1 godina,4,"muško, neoženjen",nema,1,automobil ili drugo,27,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,9,drugi krediti plaćani na vreme,obrazovanje,1199,<100 DM,4<= <7 godina,4,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,67,nema,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,1331,<100 DM,<=1 godina,2,"muško, neoženjen",nema,1,automobil ili drugo,22,radnja,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,18,nema uzetih kredita,automobil (nov),2278,100 <= <500 DM,<=1 godina,3,"žensko, udata/razvedena",nema,3,automobil ili drugo,28,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,21,nema uzetih kredita,automobil (nov),5003,nema račun za štednju,1<= < 4 godina,1,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,29,banka,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
<0 DM,24,svi krediti u ovoj banci vraćeni na vreme,nameštaj,3552,<100 DM,4<= <7 godina,3,"muško, neoženjen",nema,4,automobil ili drugo,27,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,18,kritičan račun,nameštaj,1928,<100 DM,<=1 godina,2,"muško, neoženjen",nema,2,poseduje nekretninu,31,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
<0 DM,24,drugi krediti plaćani na vreme,automobil (polovan),2964,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,nema,49,banka,živi besplatno,1,zaposlen i ima zvanično obrazovanje,2,ima,da,Da
<0 DM,24,svi krediti u ovoj banci vraćeni na vreme,muzička tehnika/televizija,1546,<100 DM,4<= <7 godina,4,"muško, neoženjen",žirant,4,automobil ili drugo,24,banka,stanarina,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
>= 200 DM ,6,kašnjenje sa uplatama,muzička tehnika/televizija,683,<100 DM,<=1 godina,2,"žensko, udata/razvedena",nema,1,ulaganje u nekretnine/životno osiguranje,29,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,36,drugi krediti plaćani na vreme,automobil (nov),12389,nema račun za štednju,1<= < 4 godina,1,"muško, neoženjen",nema,4,nema,37,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
0 <= <200 DM,24,kašnjenje sa uplatama,biznis,4712,nema račun za štednju,1<= < 4 godina,4,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,37,banka,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,24,kašnjenje sa uplatama,muzička tehnika/televizija,1553,100 <= <500 DM,4<= <7 godina,3,"žensko, udata/razvedena",nema,2,ulaganje u nekretnine/životno osiguranje,23,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,12,drugi krediti plaćani na vreme,automobil (nov),1372,<100 DM,4<= <7 godina,2,"muško, razveden",nema,3,automobil ili drugo,36,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,24,kritičan račun,muzička tehnika/televizija,2578,>= 1000 DM,>=7 godina,2,"muško, neoženjen",nema,2,automobil ili drugo,34,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,48,drugi krediti plaćani na vreme,muzička tehnika/televizija,3979,nema račun za štednju,4<= <7 godina,4,"muško, neoženjen",nema,1,automobil ili drugo,41,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,2,ima,da,Da
<0 DM,48,drugi krediti plaćani na vreme,muzička tehnika/televizija,6758,<100 DM,1<= < 4 godina,3,"žensko, udata/razvedena",nema,2,automobil ili drugo,31,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
<0 DM,24,drugi krediti plaćani na vreme,nameštaj,3234,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,4,poseduje nekretninu,23,nema,stanarina,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Ne
nema računa u ovoj banci,30,kritičan račun,muzička tehnika/televizija,5954,<100 DM,4<= <7 godina,3,"muško, neoženjen",ko-aplikant,2,automobil ili drugo,38,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,automobil (polovan),5433,nema račun za štednju,nezaposlen,2,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,26,nema,stanarina,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
<0 DM,15,drugi krediti plaćani na vreme,biznis,806,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,22,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,9,drugi krediti plaćani na vreme,muzička tehnika/televizija,1082,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,27,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,15,kritičan račun,nameštaj,2788,<100 DM,4<= <7 godina,2,"žensko, udata/razvedena",ko-aplikant,3,automobil ili drugo,24,banka,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,2930,<100 DM,4<= <7 godina,2,"žensko, udata/razvedena",nema,1,poseduje nekretninu,27,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,24,kritičan račun,obrazovanje,1927,nema račun za štednju,1<= < 4 godina,3,"žensko, udata/razvedena",nema,2,automobil ili drugo,33,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,36,kritičan račun,automobil (nov),2820,<100 DM,<=1 godina,4,"muško, razveden",nema,4,automobil ili drugo,27,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,prekvalifikovanje,937,<100 DM,<=1 godina,4,"muško, oženjen/udovac",nema,3,automobil ili drugo,27,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,18,kritičan račun,automobil (nov),1056,<100 DM,>=7 godina,3,"muško, neoženjen",žirant,3,poseduje nekretninu,30,banka,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,12,kritičan račun,automobil (nov),3124,<100 DM,<=1 godina,1,"muško, neoženjen",nema,3,poseduje nekretninu,49,banka,poseduje,2,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
nema računa u ovoj banci,9,drugi krediti plaćani na vreme,nameštaj,1388,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,2,poseduje nekretninu,26,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,36,drugi krediti plaćani na vreme,popravka,2384,<100 DM,<=1 godina,4,"muško, neoženjen",nema,1,nema,33,nema,stanarina,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,automobil (nov),2133,nema račun za štednju,>=7 godina,4,"žensko, udata/razvedena",nema,4,nema,52,nema,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
<0 DM,18,drugi krediti plaćani na vreme,nameštaj,2039,<100 DM,1<= < 4 godina,1,"žensko, udata/razvedena",nema,4,poseduje nekretninu,20,banka,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,9,kritičan račun,automobil (nov),2799,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,poseduje nekretninu,36,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
<0 DM,12,drugi krediti plaćani na vreme,nameštaj,1289,<100 DM,1<= < 4 godina,4,"muško, neoženjen",žirant,1,ulaganje u nekretnine/životno osiguranje,21,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
<0 DM,18,drugi krediti plaćani na vreme,bela tehnika,1217,<100 DM,1<= < 4 godina,4,"muško, oženjen/udovac",nema,3,poseduje nekretninu,47,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Ne
<0 DM,12,kritičan račun,nameštaj,2246,<100 DM,>=7 godina,3,"muško, neoženjen",nema,3,ulaganje u nekretnine/životno osiguranje,60,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,12,kritičan račun,muzička tehnika/televizija,385,<100 DM,4<= <7 godina,4,"žensko, udata/razvedena",nema,3,poseduje nekretninu,58,nema,poseduje,4,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
0 <= <200 DM,24,kašnjenje sa uplatama,automobil (nov),1965,nema račun za štednju,1<= < 4 godina,4,"žensko, udata/razvedena",nema,4,automobil ili drugo,42,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,21,drugi krediti plaćani na vreme,biznis,1572,>= 1000 DM,>=7 godina,4,"žensko, udata/razvedena",nema,4,poseduje nekretninu,36,banka,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,24,drugi krediti plaćani na vreme,automobil (nov),2718,<100 DM,1<= < 4 godina,3,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,20,nema,stanarina,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Ne
<0 DM,24,svi krediti u ovoj banci vraćeni na vreme,ostalo,1358,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,3,automobil ili drugo,40,radnja,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
0 <= <200 DM,6,svi krediti u ovoj banci vraćeni na vreme,automobil (nov),931,100 <= <500 DM,<=1 godina,1,"žensko, udata/razvedena",nema,1,ulaganje u nekretnine/životno osiguranje,32,radnja,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
<0 DM,24,drugi krediti plaćani na vreme,automobil (nov),1442,<100 DM,4<= <7 godina,4,"žensko, udata/razvedena",nema,4,automobil ili drugo,23,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,24,nema uzetih kredita,biznis,4241,<100 DM,1<= < 4 godina,1,"muško, neoženjen",nema,4,poseduje nekretninu,36,nema,poseduje,3,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Ne
nema računa u ovoj banci,18,kritičan račun,automobil (nov),2775,<100 DM,4<= <7 godina,2,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,31,banka,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,24,kašnjenje sa uplatama,biznis,3863,<100 DM,1<= < 4 godina,1,"muško, neoženjen",nema,2,nema,32,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,7,drugi krediti plaćani na vreme,muzička tehnika/televizija,2329,<100 DM,<=1 godina,1,"žensko, udata/razvedena",žirant,1,poseduje nekretninu,45,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,9,drugi krediti plaćani na vreme,nameštaj,918,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,1,ulaganje u nekretnine/životno osiguranje,30,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,24,svi krediti u ovoj banci vraćeni na vreme,obrazovanje,1837,<100 DM,4<= <7 godina,4,"žensko, udata/razvedena",nema,4,nema,34,banka,živi besplatno,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
nema računa u ovoj banci,36,drugi krediti plaćani na vreme,nameštaj,3349,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,2,automobil ili drugo,28,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
>= 200 DM ,10,drugi krediti plaćani na vreme,nameštaj,1275,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,2,ulaganje u nekretnine/životno osiguranje,23,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,24,svi krediti u ovoj banci vraćeni na vreme,nameštaj,2828,500 <= < 1000 DM,1<= < 4 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,22,radnja,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,24,kritičan račun,biznis,4526,<100 DM,1<= < 4 godina,3,"muško, neoženjen",nema,2,poseduje nekretninu,74,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,36,drugi krediti plaćani na vreme,muzička tehnika/televizija,2671,100 <= <500 DM,1<= < 4 godina,4,"žensko, udata/razvedena",ko-aplikant,4,nema,50,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,18,drugi krediti plaćani na vreme,muzička tehnika/televizija,2051,<100 DM,<=1 godina,4,"muško, neoženjen",nema,1,poseduje nekretninu,33,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,15,drugi krediti plaćani na vreme,automobil (polovan),1300,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,nema,45,banka,živi besplatno,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
<0 DM,12,drugi krediti plaćani na vreme,bela tehnika,741,100 <= <500 DM,nezaposlen,4,"žensko, udata/razvedena",nema,3,ulaganje u nekretnine/životno osiguranje,22,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
>= 200 DM ,10,drugi krediti plaćani na vreme,automobil (nov),1240,100 <= <500 DM,>=7 godina,1,"žensko, udata/razvedena",nema,4,nema,48,nema,živi besplatno,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Ne
<0 DM,21,drugi krediti plaćani na vreme,muzička tehnika/televizija,3357,>= 1000 DM,<=1 godina,4,"žensko, udata/razvedena",nema,2,automobil ili drugo,29,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,24,svi krediti u ovoj banci vraćeni na vreme,automobil (polovan),3632,<100 DM,1<= < 4 godina,1,"žensko, udata/razvedena",žirant,4,automobil ili drugo,22,banka,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,ne,Da
nema računa u ovoj banci,18,kašnjenje sa uplatama,nameštaj,1808,<100 DM,4<= <7 godina,4,"žensko, udata/razvedena",nema,1,poseduje nekretninu,22,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,48,nema uzetih kredita,biznis,12204,nema račun za štednju,1<= < 4 godina,2,"muško, neoženjen",nema,2,automobil ili drugo,48,banka,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,60,kašnjenje sa uplatama,muzička tehnika/televizija,9157,nema račun za štednju,1<= < 4 godina,2,"muško, neoženjen",nema,2,nema,27,nema,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,nema,da,Da
<0 DM,6,kritičan račun,automobil (nov),3676,<100 DM,1<= < 4 godina,1,"muško, neoženjen",nema,3,poseduje nekretninu,37,nema,stanarina,3,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
0 <= <200 DM,30,drugi krediti plaćani na vreme,nameštaj,3441,100 <= <500 DM,1<= < 4 godina,2,"žensko, udata/razvedena",ko-aplikant,4,automobil ili drugo,21,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,automobil (nov),640,<100 DM,1<= < 4 godina,4,"muško, razveden",nema,2,poseduje nekretninu,49,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,21,kritičan račun,biznis,3652,<100 DM,4<= <7 godina,2,"muško, neoženjen",nema,3,ulaganje u nekretnine/životno osiguranje,27,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,18,kritičan račun,automobil (nov),1530,<100 DM,1<= < 4 godina,3,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,32,banka,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,48,drugi krediti plaćani na vreme,biznis,3914,nema račun za štednju,1<= < 4 godina,4,"muško, razveden",nema,2,poseduje nekretninu,38,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,12,drugi krediti plaćani na vreme,nameštaj,1858,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,1,automobil ili drugo,22,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,18,drugi krediti plaćani na vreme,muzička tehnika/televizija,2600,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,4,nema,65,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,15,drugi krediti plaćani na vreme,muzička tehnika/televizija,1979,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,35,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
>= 200 DM ,6,drugi krediti plaćani na vreme,nameštaj,2116,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,poseduje nekretninu,41,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,9,svi krediti u ovoj banci vraćeni na vreme,automobil (nov),1437,100 <= <500 DM,4<= <7 godina,2,"muško, neoženjen",nema,3,nema,29,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,42,kritičan račun,nameštaj,4042,500 <= < 1000 DM,1<= < 4 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,36,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,9,drugi krediti plaćani na vreme,obrazovanje,3832,nema račun za štednju,>=7 godina,1,"muško, neoženjen",nema,4,poseduje nekretninu,64,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
